,state,date,value
1827,NY,20170830,45811.87638875954
1828,NY,20170831,50126.65028109832
1829,NY,20170901,35208.85053253797
1830,NY,20170902,50278.68253800477
1831,NY,20170903,34224.42145298456
1832,NY,20170904,48868.574385725544
1833,NY,20170905,48775.438014108964
1834,NY,20170906,43195.97412137232
1835,NY,20170907,28836.4823205576
1836,NY,20170908,21723.59181181074
1837,NY,20170909,33473.72353575876
1838,NY,20170910,38464.322510863814
1839,NY,20170911,59757.11619736692
1840,NY,20170912,57968.94127407188
1841,NY,20170913,62353.31564089941
1842,NY,20170914,67171.72548700371
1843,NY,20170915,82708.22862521964
1844,NY,20170916,76814.09252442434
1845,NY,20170917,67043.54144301247
1846,NY,20170918,82261.6418332794
1847,NY,20170919,64974.536977019736
1848,NY,20170920,48197.33979379599
1849,NY,20170921,54668.357303507735
1850,NY,20170922,71678.30644813669
1851,NY,20170923,50766.51511562916
1852,NY,20170924,63738.83312204537
1853,NY,20170925,89480.70358628742
1854,NY,20170926,87442.15262788995
1855,NY,20170927,57366.27032283037
1856,NY,20170928,54665.719455637394
1857,NY,20170929,44764.72094648124
1858,NY,20170930,39804.82853763573
1859,NY,20171001,43295.911306772796
1860,NY,20171002,63682.13799520963
1861,NY,20171003,80819.54331218901
1862,NY,20171004,98101.8022360458
1863,NY,20171005,77556.16652679442
1864,NY,20171006,59101.318470728016
1865,NY,20171007,49009.004441491874
1866,NY,20171008,65079.27105325918
1867,NY,20171009,70816.5065171328
1868,NY,20171010,65404.94008282716
1869,NY,20171011,60154.89284533082
1870,NY,20171012,62580.658059172136
1871,NY,20171013,43986.878160853004
1872,NY,20171014,52214.781724305634
1873,NY,20171015,63934.017403179794
1874,NY,20171016,79051.83635440473
1875,NY,20171017,59094.06648837469
1876,NY,20171018,62466.421412172225
1877,NY,20171019,65273.086857473776
1878,NY,20171020,45237.99944459339
1879,NY,20171021,48960.83109742381
1880,NY,20171022,71315.82215512876
1881,NY,20171023,81534.64137170065
1882,NY,20171024,90338.85552202992
1883,NY,20171025,63860.90611058063
1884,NY,20171026,77306.1386573648
1885,NY,20171027,78909.10441015681
1886,NY,20171028,77035.61146411866
1887,NY,20171029,94679.4561272042
1888,NY,20171030,73006.16035811133
1889,NY,20171031,45136.89543485816
1890,NY,20171101,51724.64718319896
1891,NY,20171102,64801.27213065187
1892,NY,20171103,47361.07653542924
1893,NY,20171104,50220.501819333855
1894,NY,20171105,55488.19935673928
1895,NY,20171106,54093.685209391864
1896,NY,20171107,71583.70695974349
1897,NY,20171108,84786.41624414433
1898,NY,20171109,53922.956370582404
1899,NY,20171110,35820.480263029705
1900,NY,20171111,74027.96702034582
1901,NY,20171112,58075.08411855803
1902,NY,20171113,68186.38311982327
1903,NY,20171114,72340.82397235247
1904,NY,20171115,65506.551102343255
1905,NY,20171116,66833.01274310521
1906,NY,20171117,60054.22997948898
1907,NY,20171118,63462.240345028134
1908,NY,20171119,58277.44823520952
1909,NY,20171120,58844.165587314856
1910,NY,20171121,67614.64547868355
1911,NY,20171122,56609.548563172735
1912,NY,20171123,63034.426190667546
1913,NY,20171124,52552.370154140546
1914,NY,20171125,70559.36763027418
1915,NY,20171126,73494.87031480824
1916,NY,20171127,81454.7879347861
1917,NY,20171128,51502.24705120294
1918,NY,20171129,82460.94906890567
1919,NY,20171130,50188.841973324226
1920,NY,20171201,62541.31869836286
1921,NY,20171202,44078.20391893923
1922,NY,20171203,55180.94245082797
1923,NY,20171204,81587.47943069675
1924,NY,20171205,91985.53043507227
1925,NY,20171206,77835.31090818731
1926,NY,20171207,85722.00865024238
1927,NY,20171208,68904.12063940306
1928,NY,20171209,45289.549728535334
1929,NY,20171210,62073.749905890254
1930,NY,20171211,72426.51943192142
1931,NY,20171212,59598.100555669436
1932,NY,20171213,81625.1643347953
1933,NY,20171214,66355.51447546668
1934,NY,20171215,56309.83443303367
1935,NY,20171216,63788.25202659117
1936,NY,20171217,51477.47746761094
1937,NY,20171218,70630.51323822324
1938,NY,20171219,96274.06015866168
1939,NY,20171220,98513.76780654944
1940,NY,20171221,98145.48555002623
1941,NY,20171222,69796.50277529475
1942,NY,20171223,78715.6717295395
1943,NY,20171224,92166.44598684506
1944,NY,20171225,72826.5624301176
1945,NY,20171226,101571.0887659982
1946,NY,20171227,73990.84486679579
1947,NY,20171228,102707.2495513434
1948,NY,20171229,80419.04270061638
1949,NY,20171230,68908.29390399068
1950,NY,20171231,91766.43209308741
1951,NY,20180101,79506.21556359688
1952,NY,20180102,126723.56367755114
1953,NY,20180103,120141.46576305901
1954,NY,20180104,109757.7703143106
1955,NY,20180105,127201.67497665329
1956,NY,20180106,108819.35588850056
1957,NY,20180107,85093.66266543008
1958,NY,20180108,111740.50760488198
1959,NY,20180109,95071.34000137444
1960,NY,20180110,102846.4383817223
1961,NY,20180111,91231.4559213903
1962,NY,20180112,87051.27985874447
1963,NY,20180113,80497.3935718889
1964,NY,20180114,108750.56770717773
1965,NY,20180115,119499.15680486515
1966,NY,20180116,146212.04738225436
1967,NY,20180117,161783.89926973626
1968,NY,20180118,131356.85899465744
1969,NY,20180119,148256.59936697164
1970,NY,20180120,147244.80307182312
1971,NY,20180121,176184.22072352792
1972,NY,20180122,164757.98198775214
1973,NY,20180123,206611.5160632032
1974,NY,20180124,165559.94766874705
2151,PA,20151002,10031.934019388887
2152,PA,20151003,14594.739473287038
2153,PA,20151004,16758.703463058333
2154,PA,20151005,4816.941661481482
2155,PA,20151006,5215.923813983333
2156,PA,20151007,18691.27587143333
2157,PA,20151008,15995.291736498659
2158,PA,20151009,12005.879622441667
2159,PA,20151010,8798.557965388889
